Class,Rake_Title_Count,Yake_Title_Count,Keybert_Title_Count,Rake_Annotation_Count,Yake_Annotation_Count,Keybert_Annotation_Count
Text Mining,3,7,2,45,31,7
Text Mining,7,12,2,77,69,12
Text Mining,3,7,2,79,64,10
Text Mining,3,6,1,50,32,5
Text Mining,6,6,5,29,23,7
Text Mining,4,6,1,63,35,10
Text Mining,5,9,4,105,40,9
Text Mining,4,10,3,97,34,8
Text Mining,6,3,1,79,23,2
Text Mining,5,12,3,55,32,8
Text Mining,3,11,2,104,42,12
Text Mining,4,15,3,54,25,7
Text Mining,6,11,1,69,32,9
Text Mining,5,8,2,42,25,6
Text Mining,4,15,3,61,23,5
Text Mining,5,14,3,64,29,6
Text Mining,3,13,2,93,30,11
Text Mining,4,7,2,77,24,6
Text Mining,5,10,1,61,29,4
Text Mining,6,11,4,71,21,6
Text Mining,3,10,3,56,39,17
Text Mining,6,14,1,62,23,8
Text Mining,5,13,3,99,48,7
Text Mining,7,12,4,29,17,7
Text Mining,5,9,4,81,43,7
Text Mining,6,12,4,66,33,9
Text Mining,4,7,2,48,15,1
Text Mining,7,14,1,77,57,9
Text Mining,7,11,2,76,52,9
Text Mining,10,11,1,76,16,2
Text Mining,6,10,4,37,21,7
Text Mining,7,10,3,66,25,3
Text Mining,8,10,1,80,28,2
Text Mining,3,7,1,69,30,6
Text Mining,4,7,0,64,18,2
Text Mining,3,5,3,70,29,7
Text Mining,8,17,4,51,22,5
Text Mining,3,6,3,62,25,4
Text Mining,3,7,2,67,36,6
Text Mining,3,8,4,31,22,12
Text Mining,2,5,2,85,50,6
Text Mining,6,6,2,66,23,2
Text Mining,4,9,6,60,19,10
Text Mining,8,13,0,82,35,8
Text Mining,6,8,4,75,44,5
Text Mining,6,8,1,95,44,12
Text Mining,5,8,5,53,19,4
Text Mining,8,11,1,121,69,5
Text Mining,3,6,2,48,46,13
Text Mining,4,6,1,36,24,7
Text Mining,7,11,0,54,21,4
Text Mining,14,11,1,63,18,1
Text Mining,8,12,2,112,38,6
Text Mining,7,7,3,55,23,4
Text Mining,2,4,1,32,37,9
Text Mining,3,10,5,54,29,5
Text Mining,6,13,3,68,19,5
Text Mining,8,10,2,105,27,0
Text Mining,5,15,4,58,37,13
Text Mining,7,10,2,51,19,2
Text Mining,3,11,1,73,21,6
Text Mining,4,12,3,41,32,8
Text Mining,7,15,4,62,21,3
Text Mining,8,10,3,64,48,6
Text Mining,5,9,4,71,48,21
Text Mining,5,10,3,70,20,8
Text Mining,7,6,1,109,64,9
Text Mining,3,9,2,56,15,9
Text Mining,5,10,6,47,31,8
Text Mining,4,13,4,42,26,6
Text Mining,6,12,3,52,20,4
Text Mining,7,8,2,80,28,14
Text Mining,4,12,6,50,11,4
Text Mining,5,11,2,100,57,16
Text Mining,4,9,5,72,42,9
Text Mining,4,7,2,60,36,10
Text Mining,7,8,4,69,17,4
Text Mining,8,9,3,54,34,10
Text Mining,4,8,1,51,17,7
Text Mining,0,7,6,32,29,8
Text Mining,2,2,1,32,32,11
Text Mining,6,6,2,66,33,5
Text Mining,2,3,1,48,33,4
Text Mining,7,2,0,68,18,7
Text Mining,3,4,1,29,21,4
Text Mining,7,14,4,61,54,15
Text Mining,6,3,1,74,19,3
Text Mining,4,7,2,104,41,7
Text Mining,4,8,3,44,19,6
Text Mining,7,14,2,53,28,4
Text Mining,5,10,1,49,29,3
Text Mining,11,17,2,60,31,8
Text Mining,5,6,1,38,28,7
Text Mining,2,6,3,17,30,11
Text Mining,3,10,5,48,33,8
Text Mining,2,6,1,62,32,6
Text Mining,1,13,5,28,12,2
Text Mining,6,11,2,24,24,4
Text Mining,9,6,0,71,17,9
Text Mining,4,10,4,62,23,5
Text Mining,6,11,3,80,29,1
Text Mining,5,10,1,77,46,6
Text Mining,5,9,1,56,34,7
Text Mining,8,8,3,87,38,12
Text Mining,2,6,3,73,33,7
Text Mining,4,6,2,44,19,8
Text Mining,6,9,0,96,71,3
Text Mining,6,6,1,76,27,9
Text Mining,6,7,5,73,18,4
Text Mining,5,9,1,112,46,10
Text Mining,9,12,0,116,53,2
Text Mining,4,12,9,74,28,9
Text Mining,4,6,2,84,29,0
Text Mining,6,6,1,67,21,4
Text Mining,7,12,2,62,50,13
Text Mining,7,7,1,43,23,6
Text Mining,7,17,6,47,32,11
Text Mining,3,7,1,67,35,12
Text Mining,4,14,7,0,0,0
Text Mining,2,7,7,71,27,9
Text Mining,3,8,3,31,41,15
Text Mining,4,10,2,73,35,8
Text Mining,4,1,1,121,38,7
Text Mining,5,8,2,69,24,6
Text Mining,4,6,2,75,40,7
Text Mining,3,7,4,59,24,4
Text Mining,6,16,4,25,19,6
Text Mining,4,9,2,38,25,8
Text Mining,6,7,1,23,17,3
Text Mining,2,9,4,77,28,5
Text Mining,7,6,1,84,36,8
Text Mining,4,8,0,65,22,3
Text Mining,6,9,0,84,15,6
Text Mining,3,9,5,54,31,8
Text Mining,8,12,6,45,20,8
Text Mining,3,11,2,47,10,7
Text Mining,6,9,1,43,41,14
Text Mining,3,10,1,48,26,6
Text Mining,9,12,3,75,30,13
Text Mining,8,9,3,133,40,4
Text Mining,5,9,2,68,18,11
Text Mining,6,9,4,53,15,1
Text Mining,4,12,3,65,25,6
Text Mining,4,15,4,58,12,7
Text Mining,4,8,1,62,25,4
Text Mining,6,6,3,72,29,9
Text Mining,6,12,3,55,16,5
Text Mining,4,11,4,71,54,15
Text Mining,8,10,5,42,23,12
Text Mining,8,9,1,70,30,3
Text Mining,5,5,5,33,17,6
Text Mining,3,8,3,56,39,12
Text Mining,4,13,6,56,18,7
Text Mining,8,14,1,127,71,6
Text Mining,2,5,3,22,15,7
Text Mining,5,7,3,25,15,5
Text Mining,8,11,1,126,51,2
Text Mining,6,7,1,54,18,7
Text Mining,4,10,4,42,46,21
Text Mining,6,4,1,70,35,9
Text Mining,3,9,5,27,14,7
Text Mining,6,12,4,85,56,20
Text Mining,3,7,5,30,24,5
Text Mining,8,5,5,12,18,9
Text Mining,5,7,3,17,12,5
Text Mining,8,14,2,82,18,7
Text Mining,3,10,3,61,35,11
Text Mining,5,5,1,52,31,5
Text Mining,6,10,2,36,27,9
Text Mining,7,14,6,42,24,8
Text Mining,6,10,4,33,17,4
Text Mining,9,13,0,82,17,3
Text Mining,2,5,1,47,38,8
Text Mining,5,4,3,59,39,20
Text Mining,4,10,1,61,27,7
Text Mining,5,7,1,135,32,9
Text Mining,7,12,4,53,33,7
Text Mining,5,9,2,56,20,5
Text Mining,5,14,5,50,33,12
Text Mining,4,8,1,44,33,9
Text Mining,7,11,2,93,30,3
Text Mining,5,9,1,84,55,3
Text Mining,6,8,4,84,24,10
Text Mining,6,13,5,21,9,6
Text Mining,8,14,5,143,43,1
Text Mining,2,12,5,55,17,8
Text Mining,5,13,3,68,45,16
Text Mining,6,11,2,89,23,2
Text Mining,3,6,1,61,26,10
Text Mining,6,12,3,56,20,10
Text Mining,6,11,3,36,17,2
Text Mining,13,15,4,88,34,5
Text Mining,5,7,1,97,30,5
Text Mining,6,7,1,40,19,7
Text Mining,6,11,2,56,30,10
Text Mining,4,13,2,56,20,9
Text Mining,2,9,3,69,13,10
Text Mining,6,11,5,98,39,6
Text Mining,4,11,3,51,12,7
Text Mining,4,8,1,47,34,12
Text Mining,3,11,2,51,16,11
Text Mining,4,12,2,33,10,3
Text Mining,7,12,3,82,49,13
Text Mining,4,10,2,58,39,7
Text Mining,5,7,2,110,52,3
Text Mining,4,8,5,58,24,8
Text Mining,10,10,2,68,31,4
Text Mining,4,9,3,86,36,9
Text Mining,2,9,1,60,28,5
Text Mining,6,9,4,37,34,2
Text Mining,5,12,4,39,27,8
Text Mining,4,8,1,71,40,10
Text Mining,4,5,1,52,27,9
Text Mining,8,14,1,89,36,6
Text Mining,4,8,1,64,32,4
Text Mining,9,8,1,67,43,8
Text Mining,7,11,3,56,18,4
Text Mining,6,11,4,33,21,4
Text Mining,4,8,3,57,34,3
Text Mining,7,8,4,60,23,7
Text Mining,9,19,1,72,57,0
Text Mining,6,13,3,36,19,5
Text Mining,4,2,1,87,55,6
Text Mining,4,9,4,38,43,15
Text Mining,5,12,1,126,44,10
Text Mining,5,13,1,60,18,3
Text Mining,6,10,4,53,42,15
Text Mining,5,6,1,97,40,6
Text Mining,4,6,7,65,23,8
Text Mining,6,6,1,70,24,2
Text Mining,4,6,2,97,50,4
Text Mining,4,8,2,51,29,5
Text Mining,4,9,4,55,23,4
Text Mining,4,10,6,16,17,3
Text Mining,4,6,1,57,35,5
Text Mining,4,6,1,80,33,6
Text Mining,5,10,4,79,28,9
Text Mining,5,10,4,123,35,5
Text Mining,4,9,3,37,18,4
Text Mining,5,4,3,73,18,8
Text Mining,4,7,2,51,20,9
Text Mining,3,8,2,70,43,12
Text Mining,5,10,3,89,38,8
Text Mining,5,7,1,49,31,8
Text Mining,4,11,3,71,25,8
Text Mining,5,10,3,56,32,12
Text Mining,3,13,2,95,29,4
Text Mining,5,12,2,40,17,4
Text Mining,5,13,6,43,19,10
Text Mining,6,11,1,72,44,11
Text Mining,5,8,4,58,18,3
Text Mining,6,8,3,40,13,4
Text Mining,4,3,2,76,36,1
Text Mining,6,11,3,59,11,2
Text Mining,3,6,3,39,25,5
Text Mining,4,8,1,86,40,8
Text Mining,6,9,4,49,45,11
Text Mining,8,12,2,59,17,4
Text Mining,3,6,2,21,24,4
Text Mining,3,8,4,41,16,5
Text Mining,4,11,5,54,18,4
Text Mining,4,7,2,108,28,8
Text Mining,10,15,2,128,51,9
Text Mining,5,11,1,46,36,5
Text Mining,3,6,1,61,38,11
Text Mining,6,13,3,88,45,0
Text Mining,5,12,3,52,23,4
Text Mining,9,13,1,119,81,7
Text Mining,6,10,3,52,37,8
Text Mining,4,10,2,52,22,5
Text Mining,3,14,0,42,6,6
Text Mining,6,7,2,96,33,7
Text Mining,4,9,3,67,38,10
Text Mining,5,10,2,46,26,3
Text Mining,6,10,3,72,40,4
Text Mining,6,16,7,65,32,14
Text Mining,9,10,1,73,46,7
Text Mining,7,13,2,60,15,6
Text Mining,3,9,2,26,17,7
Text Mining,4,9,5,35,26,7
Text Mining,6,11,0,99,33,3
Text Mining,8,13,2,119,53,5
Text Mining,6,10,0,62,31,1
Text Mining,6,9,5,52,34,9
Text Mining,4,8,5,65,20,1
Text Mining,4,9,1,61,47,18
Text Mining,5,14,4,50,23,7
Text Mining,2,2,5,37,17,4
Text Mining,4,7,6,80,22,6
Text Mining,6,7,4,69,47,2
Text Mining,2,8,3,70,34,8
Text Mining,8,8,2,62,19,4
Text Mining,6,12,1,45,32,6
Text Mining,9,11,2,34,26,4
Text Mining,1,2,1,70,28,6
Text Mining,7,12,3,75,39,7
Text Mining,8,6,0,114,24,2
Text Mining,5,8,2,34,26,8
Text Mining,6,10,2,116,47,9
Text Mining,6,8,1,60,23,8
Text Mining,3,10,2,52,25,10
Text Mining,5,12,5,16,13,3
Text Mining,5,7,4,13,13,3
Text Mining,4,12,4,74,62,16
Text Mining,3,9,3,30,13,2
Text Mining,9,7,1,50,33,6
Text Mining,4,3,1,74,22,9
Text Mining,3,12,4,79,21,3
Text Mining,3,12,1,83,58,10
Text Mining,7,11,3,41,30,9
Text Mining,4,9,3,64,27,10
Text Mining,3,7,4,59,42,17
Text Mining,4,8,1,79,21,4
Text Mining,3,10,4,22,24,9
Text Mining,3,14,4,51,16,7
Text Mining,5,15,1,87,22,7
Text Mining,13,14,1,156,66,1
Text Mining,4,6,2,45,12,3
Text Mining,2,9,2,40,21,5
Text Mining,5,9,1,124,33,3
Text Mining,5,7,2,73,25,10
Text Mining,6,11,2,67,27,5
Text Mining,3,7,0,77,35,17
Text Mining,7,12,6,71,16,4
Text Mining,10,15,2,60,35,3
Text Mining,4,9,3,48,11,5
Text Mining,5,8,2,87,43,5
Text Mining,8,12,3,71,35,7
Text Mining,4,6,4,55,26,9
Text Mining,5,11,5,70,19,8
Text Mining,6,12,2,97,37,8
Text Mining,6,7,3,61,17,4
Text Mining,5,7,0,28,19,2
Text Mining,5,7,5,48,16,6
Text Mining,4,6,1,128,51,13
Text Mining,3,10,3,54,36,11
Text Mining,4,7,2,36,22,6
Text Mining,3,12,4,48,29,11
Text Mining,7,10,4,47,19,8
Text Mining,6,13,0,55,59,0
Text Mining,1,10,3,39,15,11
Text Mining,8,9,1,56,17,1
Text Mining,6,13,4,82,34,3
Text Mining,10,9,2,51,18,2
Text Mining,6,7,2,68,31,7
Text Mining,6,12,5,47,20,3
Text Mining,3,9,3,42,13,3
Text Mining,2,5,4,35,16,4
Text Mining,3,5,4,53,13,3
Text Mining,7,7,2,44,59,14
Text Mining,3,1,1,87,27,3
Text Mining,3,5,2,66,31,4
Text Mining,6,14,6,63,34,10
Text Mining,8,5,2,82,37,7
Text Mining,6,11,2,46,28,7
Text Mining,4,7,1,69,25,4
Text Mining,7,13,5,104,28,8
Text Mining,4,10,2,77,22,4
Text Mining,4,8,2,76,45,10
Text Mining,4,10,2,87,21,9
Text Mining,7,11,3,91,30,5
Text Mining,4,8,3,65,25,9
Text Mining,3,8,3,26,19,7
Text Mining,6,8,2,60,21,7
Text Mining,3,10,2,67,36,9
Text Mining,6,13,5,41,27,6
Text Mining,2,16,3,51,6,5
Text Mining,4,8,2,80,36,7
Text Mining,6,11,2,62,24,4
Text Mining,4,15,4,35,11,4
Text Mining,5,5,3,43,23,6
Text Mining,4,5,0,54,22,9
Text Mining,6,6,1,132,40,4
Text Mining,4,12,4,50,16,7
Text Mining,4,11,3,82,21,6
Text Mining,8,12,2,62,30,15
Text Mining,7,6,0,82,33,6
Text Mining,4,9,1,48,20,3
Text Mining,4,7,2,53,11,4
Text Mining,5,4,4,37,19,8
Text Mining,5,10,4,70,34,4
Text Mining,3,8,1,41,23,3
Text Mining,4,7,0,80,36,9
Text Mining,5,13,4,35,17,6
Text Mining,6,12,1,51,17,1
Text Mining,4,9,2,44,23,9
Text Mining,7,8,3,61,23,8
Text Mining,8,11,2,67,14,3
Text Mining,5,6,2,74,28,1
Text Mining,6,10,0,59,27,6
Text Mining,3,8,1,43,17,5
Text Mining,2,6,5,46,20,12
Text Mining,2,10,0,37,15,4
Text Mining,8,11,2,77,43,4
Text Mining,3,7,3,55,27,6
Text Mining,5,11,2,30,10,3
Text Mining,5,6,1,71,30,7
Text Mining,7,13,3,73,7,7
Text Mining,5,6,6,92,42,4
Text Mining,4,7,2,57,42,6
Text Mining,7,13,4,84,32,12
Text Mining,4,12,5,89,24,5
Text Mining,5,6,2,74,42,10
Text Mining,6,7,2,83,33,6
Text Mining,10,12,2,62,41,14
Text Mining,4,6,2,90,19,5
Text Mining,3,7,0,77,17,5
Text Mining,3,9,2,56,31,10
Text Mining,7,10,3,68,17,4
Text Mining,8,9,1,36,21,6
Text Mining,11,9,1,70,25,9
Text Mining,8,15,3,45,31,14
Text Mining,1,6,7,61,16,8
Text Mining,5,6,0,59,22,7
Text Mining,4,9,1,72,29,5
Text Mining,6,9,3,63,46,14
Text Mining,4,8,1,81,26,12
Text Mining,3,8,6,73,26,7
Text Mining,4,6,1,49,17,3
Text Mining,1,6,3,49,18,3
Text Mining,6,13,1,65,51,5
Text Mining,6,4,1,57,20,3
Text Mining,11,9,1,66,38,1
Text Mining,6,12,4,68,30,6
Text Mining,6,9,1,58,38,7
Text Mining,7,11,5,100,44,3
Text Mining,5,6,3,49,17,3
Text Mining,2,8,3,34,22,4
Text Mining,3,8,3,63,33,8
Text Mining,7,9,1,45,11,2
Text Mining,2,10,0,65,33,12
Text Mining,6,13,4,71,35,8
Text Mining,4,4,1,58,26,7
Text Mining,5,7,2,58,54,16
Text Mining,6,8,1,49,22,1
Text Mining,6,14,1,56,20,9
Text Mining,6,2,2,36,18,5
Text Mining,3,1,8,67,27,7
Text Mining,8,11,5,64,17,6
Text Mining,4,6,3,42,33,6
Text Mining,5,15,3,42,26,8
Text Mining,4,5,0,76,31,7
Text Mining,4,15,4,25,9,1
Text Mining,2,8,3,108,34,10
Text Mining,5,10,1,83,33,4
Text Mining,3,13,4,44,31,9
Text Mining,11,12,2,59,16,3
Text Mining,2,5,3,62,37,5
Text Mining,2,13,5,12,22,7
Text Mining,6,11,5,45,22,7
Text Mining,7,13,5,51,15,2
Text Mining,4,12,4,66,22,8
Text Mining,2,12,2,80,30,15
Text Mining,7,7,1,47,15,0
Text Mining,3,8,3,42,27,10
Text Mining,6,14,2,121,39,8
Text Mining,3,7,0,70,47,9
Text Mining,4,4,2,71,26,7
Text Mining,3,9,1,77,42,6
Text Mining,6,15,2,124,37,5
Text Mining,3,8,1,53,27,4
Text Mining,4,8,3,53,29,8
Text Mining,9,9,1,81,55,12
Text Mining,3,8,2,44,22,7
Text Mining,1,7,3,62,20,3
Text Mining,3,6,3,40,31,11
Text Mining,7,15,2,49,27,6
Text Mining,9,9,3,79,51,11
Text Mining,1,15,3,46,25,10
Text Mining,5,16,5,37,23,11
Text Mining,4,11,2,48,47,10
Text Mining,2,10,2,28,27,3
Text Mining,3,11,3,88,18,5
Text Mining,6,13,1,95,39,1
Text Mining,11,12,2,80,24,4
Text Mining,2,5,1,75,27,5
Text Mining,7,12,0,68,27,11
Text Mining,4,11,4,49,22,7
Text Mining,5,8,5,39,18,7
Text Mining,5,11,4,34,28,13
Text Mining,4,10,5,54,30,8
Text Mining,3,5,4,95,39,3
Text Mining,6,6,3,36,15,2
Text Mining,9,12,4,72,12,8
Text Mining,4,3,1,59,38,9
Text Mining,4,12,2,35,19,9
Text Mining,7,11,2,73,22,4
Text Mining,6,9,0,122,47,5
Text Mining,7,13,3,92,28,3
Text Mining,4,3,0,120,34,4
Text Mining,5,5,3,83,25,14
Text Mining,6,12,3,30,20,7
Text Mining,6,7,1,97,43,6
Text Mining,3,9,4,83,23,5
Text Mining,6,10,2,47,9,1
Text Mining,4,7,1,77,24,6
Text Mining,1,8,6,43,9,2
Text Mining,2,5,3,34,16,7
Text Mining,3,2,2,39,21,7
Text Mining,2,5,5,58,16,1
Text Mining,6,11,5,59,11,1
Text Mining,5,8,6,57,36,6
Text Mining,4,11,3,96,30,6
Text Mining,4,3,0,66,27,4
Text Mining,4,7,3,74,39,16
Text Mining,4,9,2,99,40,23
Text Mining,7,2,2,93,21,1
Text Mining,10,8,1,92,37,1
Text Mining,5,9,2,97,19,9
Text Mining,10,14,4,103,37,12
Text Mining,6,11,2,54,26,8
Text Mining,4,10,3,61,22,5
Text Mining,7,13,2,51,38,8
Text Mining,2,7,1,52,30,3
Text Mining,8,13,5,100,37,5
Text Mining,6,7,0,109,34,8
Text Mining,3,8,3,35,36,10
Text Mining,4,11,4,33,29,11
Text Mining,6,7,1,36,34,9
Text Mining,4,8,0,100,39,0
Text Mining,7,10,0,109,28,7
Text Mining,4,15,4,48,25,10
Text Mining,6,7,5,39,16,12
Text Mining,7,13,3,101,22,3
Text Mining,1,9,2,23,21,3
Text Mining,5,9,0,72,22,6
Text Mining,8,9,3,74,17,2
Text Mining,7,12,1,71,13,6
Text Mining,2,9,3,31,9,2
Text Mining,5,8,0,99,36,8
Text Mining,3,1,0,55,18,2
Text Mining,7,7,2,40,11,2
Text Mining,4,13,3,46,13,2
Text Mining,4,9,6,61,25,8
Text Mining,4,3,2,71,29,6
Text Mining,8,11,3,76,30,12
Text Mining,2,2,5,85,31,3
Text Mining,1,9,1,118,39,6
Text Mining,4,13,2,33,29,6
Text Mining,4,7,2,60,55,9
Text Mining,7,12,0,72,53,6
Text Mining,6,10,1,101,34,5
Text Mining,6,8,0,52,25,9
Text Mining,5,11,2,133,25,3
Text Mining,4,9,2,90,27,8
Text Mining,4,11,3,55,26,14
Text Mining,6,10,0,74,22,2
Text Mining,6,5,3,95,65,18
Text Mining,7,7,4,48,30,12
Text Mining,8,10,2,93,51,8
Text Mining,4,13,3,72,13,6
Text Mining,8,12,2,68,23,10
Text Mining,9,10,3,123,39,6
Text Mining,6,8,0,115,76,19
Text Mining,7,12,1,53,26,4
Text Mining,7,10,0,96,62,3
Text Mining,1,12,1,48,13,7
Text Mining,6,10,1,53,17,7
Text Mining,4,5,1,62,20,12
Text Mining,6,6,0,110,68,7
Text Mining,4,13,5,42,32,11
Text Mining,4,3,4,53,38,7
Text Mining,6,12,3,56,51,14
Text Mining,3,7,3,50,26,5
Text Mining,6,9,4,42,20,10
Text Mining,10,9,0,89,43,9
Text Mining,4,5,1,53,14,2
Text Mining,5,9,6,87,39,10
Text Mining,3,10,2,83,42,9
Text Mining,7,18,4,66,83,21
Text Mining,11,14,4,55,16,4
Text Mining,8,5,1,58,22,5
Text Mining,5,14,4,36,18,5
Text Mining,6,8,4,70,19,7
Text Mining,7,12,2,105,28,3
Text Mining,6,7,0,74,24,10
Text Mining,5,13,3,90,19,4
Text Mining,6,14,1,69,35,4
Text Mining,3,9,3,82,20,6
Text Mining,6,13,4,55,18,4
Text Mining,5,7,2,87,12,6
Text Mining,7,12,0,113,38,19
Text Mining,7,9,6,62,21,2
Text Mining,10,10,0,141,32,0
Text Mining,4,10,1,120,32,13
Text Mining,4,7,2,88,15,5
Text Mining,3,6,0,53,16,8
Text Mining,6,11,4,46,28,4
Text Mining,7,5,0,114,34,4
Text Mining,5,9,8,41,16,4
Text Mining,6,11,1,72,38,3
Text Mining,5,7,1,78,38,9
Text Mining,4,7,1,65,35,5
Text Mining,3,11,1,73,26,5
Text Mining,2,6,4,89,23,8
Text Mining,2,9,2,58,10,4
Text Mining,5,13,1,70,28,9
Text Mining,7,8,4,109,25,7
Text Mining,0,2,1,29,27,7
Text Mining,3,4,3,32,24,10
Text Mining,5,6,0,132,86,9
Text Mining,4,18,8,9,5,2
Text Mining,4,8,3,52,12,10
Text Mining,4,6,1,62,26,10
Text Mining,5,6,2,108,41,2
Text Mining,5,5,3,56,17,4
Text Mining,6,11,2,99,42,8
Text Mining,3,11,3,62,29,8
Text Mining,2,8,3,52,55,8
Text Mining,4,10,2,58,26,6
Text Mining,2,6,1,54,14,9
Text Mining,3,10,4,64,52,20
Text Mining,2,12,2,42,18,3
Text Mining,8,10,2,125,35,9
Text Mining,6,6,0,70,20,6
Text Mining,0,12,6,10,9,5
Text Mining,4,7,2,36,14,9
Text Mining,6,10,5,66,27,8
Text Mining,3,10,1,55,22,7
Text Mining,3,2,1,67,29,2
Text Mining,7,14,4,63,15,13
Text Mining,9,10,1,69,20,1
Text Mining,5,11,5,47,37,15
Text Mining,2,4,5,38,19,1
Text Mining,2,2,1,74,40,7
Text Mining,3,4,2,60,30,9
Text Mining,7,15,6,44,42,21
Text Mining,7,14,3,81,43,8
Text Mining,4,8,2,73,48,8
Text Mining,5,11,1,58,24,4
Text Mining,6,13,3,119,36,2
Text Mining,3,6,0,54,11,7
Text Mining,8,6,2,88,24,11
Text Mining,2,11,5,122,20,3
Text Mining,5,9,2,52,32,8
Text Mining,4,9,3,51,28,5
Text Mining,4,5,2,62,13,5
Text Mining,4,11,1,62,21,4
