word analysis, grammar gutenberg, text mining, word frequency, trends english, grammar books, keyword analysis, mining word, english words, mining english
text information, equipment defects, text mining, defects equipment, equipment text, power equipment, mining field, mining techniques, defects power, know text
data mining, textual data, mining application, text data, mining text, text mining, unstructured data, mining web, mining techniques, web mining
data mining, knowledge discovery, discovery textual, text data, mining text, text mining, clustering information, discovery text, textual databases, mining knowledge
technology unstructured, analysis unstructured, text data, text mining, analysis using, unstructured data, congruence text, data analysis, congruence unstructured, text analysis
tools mining, mining methodology, text useful, mining text, text mining, text documents, known text, review text, mining techniques, analyses text
text information, document analysis, using nlp, dissecting text, text mining, unstructured text, handling nlp, nlp generally, discovery text, relevance feature
complications diabetes, nephropathy diabetic, disease diabetic, patients information, identify diabetics, diabetes diabetic, diabetes patients, diabetes, type diabetes, diabetes complication
words clustering, finding clustering, cluster mining, pattern cluster, pattern mining, mining text, clustering similar, text mining, clustering algorithm, clustering
knowledge discovery, extraction information, text mining, unstructured data, retrieval extraction, information unstructured, complexity unstructured, companies unstructured, evaluation unstructured, natural language
mining method, text clustering, text classification, text mining, mining process, clustering text, mining information, criminal activity, text corpus, crimes text
mining fuzzy, fuzzy cognitive, policy text, analyze policy, fuzzy association, text mining, rule mining, policy elements, text analysis, policy documents
mining textual, biological text, translational informatics, text mining, learning text, context genetic, health genetics, entity recognition, research genetic, mining hypotheses
mining solution, textual data, biomedical text, bioinformatics, biology text, text mining, biomedical, biomedical specific, methods biomedical, mining bioinformatics
keywords papers, text classification, classification scientific, text mining, abstracts keywords, systematic literature, scientific publications, technologies bibliographic, bibliographic, bibliographic databases
classification analogical, analogical proportion, analogical proportions, text mining, especially arabic, analogical text, arabic text, text summarization, summarization classification, analogical inference
data extraction, content mining, unstructured information, mining tools, rule mining, text mining, unstructured data, data unstructured, mining information, prediction text
classification text, text classification, interns program, feedback interns, interns communication, interns performance, results interns, text mining, text processing, internship program
keywords, mining article, articles quickly, use keywords, extract topics, text mining, filter articles, search database, keywords search, articles extract
asset features, data mining, text unstructured, asset reviews, text mining, learning text, unstructured data, mining approach, improving product, customer reviews
mining method, knowledge base, algorithm dnn, text knowledge, knowledge classification, mining terms, knowledge representation, text mining, knowledge mining, topic tracking
problem mining, message responses, data mining, classification, evaluation intelligent, text mining, classifying, based text, replies effectiveness, results classification
sentiment data, efficient text, big data, large data, text preprocessing, text mining, learning text, mining big, preprocessing text, collected sentiment
relationship macau, keywords macau, mining classification, classification analysis, text mining, macau, random forests, macau special, policy addresses, classification analyses
writing accidents, data mining, accidents reports, descriptions accidents, text mining, classification accidents, accident analysis, accident data, classified accidents, road accidents
mining method, naming scientific, naming chinese, research naming, research text, naming recognition, text naming, text mining, naming method, knowledge naming
analyze students, data mining, mining interactive, content moocs, students learning, stimulate students, moocs using, moocs interactive, education data, text moocs
marketing analysis, data mining, keywords extraction, review texts, opinion extraction, mining text, text mining, opinion text, review text, text analysis
identify trends, trends terms, mining researcharticles, mining paper, detect trends, text mining, trends machine, trend various, trend, analyze text
teachers appraisals, appraisals approach, subjectivity opinion, appraisals palestinian, detecting subjectivity, text mining, detects subjectivity, appraisals using, subjectivity staff, subjectivity reviews
management practice, management study, management practices, managers, people management, text methodology, text mining, management, mining techniques, mining classify
scientific papers, algorithm extracts, papers literature, text mining, context identification, papers agent, identifies contexts, papers searched, based text, identifies context
based recommendations, text mining, hybrid recommendation, recommendation approach, based recommendation, review text, recommendations text, datasets recommendation, recommendation text, user reviews
classification text, textual information, judicial, text classification, legal information, text mining, analyzing court, text documents, lawyer analysis, legal texts
sentiment analysis, knowledge extraction, texts, mining terms, texts reconstruction, linguistics language, purposes fuzzy, text mining, linguistics, history text
ocr correction, ocr post, customised ocr, medical text, ocr, quality ocr, ocr text, ocr systems, ocr software, recognition ocr
literature, text analyze, know buzzwords, review explore, identify keywords, literature review, research development, health literacy, text mining, initial literature
mining classifying, diseases diagnosis, classifier, classifier compared, classifiers decision, text mining, classifying disease, physician diagnosis, classifiers, based classifiers
text analyzer, summarization approach, text classification, reduction text, text mining, categorization summarization, text categorization, summarization analyzer, summarization using, summarization process
questionnaire, text mining, latent semantic, questionnaire text, questionnaire based, lsa questionnaire, dirichlet allocation, latent dirichlet, lda model, open questionnaire
text clustering, sentence mining, text classification, rule mining, mining text, text clusters, sentence ranking, ranking sentences, sentence similarity, mining conceptual
product context, innovation management, text mining, semantic modelling, innovation potentials, semantic network, knowledge product, innovation process, product relevant, particular innovation
semantic learning, word features, word2vec, text classification, word discovery, word2vec word, text mining, word vector, defect text, text word2vec
text clustering, cluster based, techniques cluster, mining grouping, clustering ontology, text mining, mining text, text summarization, clustering, document clustering
data mining, twitter using, using tweets, tweets, mining text, text mining, text social, method twitter, twitter, identification twitter
mining research, cited research, data mining, cited publications, bibliometric, mining data, text mining, bibliometric analysis, mining information, information bibliometric
cybercrime profiling, posts microblog, cybercriminals text, text mining, activities microblog, cybercrime, twitter arabspring, microblog posts, profiling text, microblog
result stemming, stemming algorithm, media stemming, strengthen stemming, indonesian stemming, improved stemming, stemming process, algorithm stemming, stemming algorithms, stemming
data mining, mining exploratory, text data, text mining, exploratory search, mining process, exploratory text, mining tasks, knowledge unstructured, mining applications
text idea, text classification, idea mining, mining idea, extract idea, concept extracting, text mining, idea combination, idea characterization, idea text
vulnerability text, vulnerabilities mining, vulnerability severity, description vulnerabilities, vulnerability database, vulnerabilities database, vulnerabilities compare, vulnerabilities important, prediction vulnerability, threat vulnerabilities
people vaccination, perception indonesian, sentiment analysis, vaccination covid, sentiment perception, study sentiment, text mining, pandemic coronavirus, know sentiment, vaccinated covid
diagrams ncd, diagram component, diagrams using, text mining, diagrams based, case diagrams, class diagrams, diagrams comparison, case diagram, sequence diagrams
based text, chinese medicine, chinese segmentation, diabetes traditional, diabetes tcm, text mining, mining medoids, diabetes, type diabetes, mining methods
text clustering, rule extraction, clustering association, classify text, categorization text, text mining, text categorization, unstructured text, extraction trend, clustering
classifier, classifier text, document based, mining text, text mining, extracting knowledge, text documents, given text, probabilistic classifier, using probabilistic
doc2vec models, extracting word, natural language, idf doc2vec, text mining, extracting features, extracting feature, feature extraction, glove word2vec, extract features
keywords, keywords copying, generates keyword, text keywords, keyword based, text mining, text search, idea keywords, keywords generated, keywords generator
project management, technology text, information text, textual data, projects, solve project, project participants, text mining, projects achieve, mining methods
intention mining, log seismic, design log, log design, log discovery, knowledge log, mining techniques, seismic event, seismic events, event log
pattern based, pattern detection, keyword based, text mining, pattern compared, discovering pattern, information retrieval, retrieval systems, term based, mining methods
association text, term association, associated terms, mining occurrence, keyword based, association method, text mining, occurrence based, text corpus, words keyword
social media, complaint topics, clusterization, text mining, complaints clusterization, dirichlet allocation, twitter, mining social, latent dirichlet, complaint data
pattern discovery, patterns used, discovered patterns, discover pattern, patterns discovered, text mining, mining techniques, extract patterns, patterns text, patterns according
chemical entities, chemical text, chemical databases, mining chemical, text mining, mining relationship, mining techniques, mining tools, chemical data, analysis mining
automatic selection, topic selection, topics automatically, topics selection, automated topic, select topics, text mining, choose topics, topics based, automatically educational
professionals text, unstructured textual, information seeker, information profession, information professionals, text mining, search text, mining information, textual documents, documents text
mining method, problem mining, based text, tripping text, text mining, text causality, word segmentation, distribution trip, text processing, text extraction
classification methods, idf models, compared text, text classification, classification comparing, classification different, text mining, bayes classification, tf idf, naive bayes
content paragraphs, literature, text typography, mining algorithm, literature studies, text mining, determination document, keywords preparation, studies algorithm, mining process
unstructured documents, documents data, mining finding, documents identify, text mining, documents contains, unstructured text, unstructured data, identify documents, mining techniques
contextual text, energy technology, energy technologies, text mining, ontology, energy development, ontology method, ontology methods, mining ontology, adopting ontology
agile, documentation analysis, mining architecture, integrated text, text mining, integrated agile, agile production, production documentation, agile process, companies knowledge
mining turkish, turkish language, word stemming, analysis turkish, text mining, clustering text, turkish linguistic, mining techniques, efficiently turkish, stemming
forecast stock, capital market, analysis stock, text mining, learning text, stock market, business text, analyze forecast, trend market, text parser
machine translation, medical text, text data, existing radiology, text mining, radiology domain, mining radiology, radiology, radiology report, radiology reports
clusters research, topic clusters, research topics, topics reports, text mining, undergraduate research, identifying topics, students informatics, analysis clusters, topics student
association text, diabetic gene, biomedical text, text mining, drug association, gene text, association discovery, drug associations, related diabetic, association diabetic
