oil traffic, prince william sound, alaska, chief environmental officer, miles long, biggest oil spill, ocean saturday, cleanup efforts, tanker exxon valdez, reef island, coast guard, dennis kelso, spawning area, crude oil, slick
census bureau, house, illegal aliens, american immigration reform, federation, count, members, suit, seats, state, congress, effort, agency, wednesday, pittsburgh
total eclipse, southern philippines, clouds, sun, scientists, thousands, wide area, asia, indonesia, miles, city, tourists, drums, mindanao, davao
house, census, seats, illegal aliens, population expert, states, california, georgia, house seats, policy studies, virginia, changes, way, sides, groups
unofficial tornado season, texas, april, june, weather conditions, people, killer storm, beginning, average, brick homes, small west texas town, buddy mcintyre, tornado watches, damage, spring thunderstorms
hurricane expert, william gray, atlantic ocean, fiercer storms, turbulent summer, year, populated areas, wind, seas, active period, hurricane seasons, professor, impossible, air pressure patterns, friday
tornado, people dead, separate homes, sheriff joe peavy, madison, adjoining counties, officials, high winds, georgia, town, tree, miles, roofs, damage, cars
plo officials, yasser arafat, united states, american targets, khalil wazir, assassination, state department, palestinian guerrillas, tuesday, accusation, israeli officials, washington, document, arab government, slain april
single-engine airplane, albuquerque, tuesday, crash, ramazzini, people, left turn, nearby coronado airport, ditch, dirt road, medical investigator, outskirts, witnesses, bodies, wind
slovenia, statement, action, federal military commanders, official statement, federal military council, plans, special warfare, police, slovenian news media, republic, march, meeting, communist government, foreign-backed conspiracy
major hurricane, atlantic storm season, hurricane-force winds, center director bob sheets, hurricane coastal flood models, mph, tuesday, western tip, certain conditions, gulf coasts, national hurricane center, worse, hurricane specialist bob case, satellites, opening
osman morote, shining path, abimael guzman, police, eight-year guerrilla war, radical leader, officials, capture, terrorists attacks, military chief, maoist rebel group, javier palacios, peru, monday, counterinsurgency sources
illegal aliens, census, state, house, citizens, seats, large numbers, undocumented residents, constitution, equal, purposes, bills, country, census bureau, larger effect
in-flight crash, pilot, aircraft, hahn air base, air force spokeswoman, west german police, 50th tactical fighter wing, al sattler, black forest, accident, f-16, miles, populated area, telephone interview, planes
drought, emergency haying, june, lyng, grazing, usda drought task force, crp, department, drought-related actions, counties, acr, acreage conservation reserve, usda press release, agriculture department, reporter
lightning-sparked fire, acres tuesday, zion national park, gusty winds, firefighters, utah, rain, blaze, hiawatha national forest, control, forest fire, line, wyoming, july, weekend
smaller fires, shoshone national forest, control monday, acres, blaze, yellowstone national park, firefighters, rain, spokesman dale bluedorn, steady rain monday afternoon, fire information officer dave damron, wyoming, rainfall, crews, lower humidities
holiday weekend fires, acres, utah, yosemite national park, california, firefighters, forest, wilderness areas, wyoming, montana, stanislaus national forest, michigan, three-day rain, saturday, blaze
drought, national weather service, ohio valley, extreme northern plains, rockies, normal weather, heavy rain, dry weather, large area, upper mississippi valley, weather forecast, texas, thursday, long-term drought conditions, tennessee valleys
dale smallwood, forest fire, mark twain national forest, missouri, arson, forest service, criminal investigator, regional traditions, ron mcdonald, people, woods aflame, year, arsonists, problem, acres
years, percent, bushels, drought, bountiful crops, crop production, fall corn harvest, usda experts, higher retail food prices, humid weather, smallest output, farmers, government officials, soybeans, wilson
shining path guerrillas, members, district attorney, charges, police, dozens, office, peasants, andean city, jungle raids, ayacucho, rodrigo franco command, soldiers, tuesday, path member
forest fire developments, brief look, western states
iwate prefecture, misawa, pilot, helicopter, miles, crash, good condition, tokyo, american military base, police, f-16, fighter, forested area, northern japan, spokesman
president reagan, welfare reform, welfare trap, welfare legislation congress, state, americans, senate-passed bill, percent, unemployment figures, saturday, work requirement, program, administration, best way, expansion
navy aviators, vessels today, jet, navy aircraft, crewman, f-14 crash monday, miles, atlantic ocean, el cajon, north carolina, san diego suburb, mike john, hangar, f-14 jet fighter, dead
bob sheets, hurricane headquarters, national hurricane center, director, destructive hurricane gilbert, beat tuesday, large monitor, sixth floor, interviews, hurricane-force winds, questions, multitude, reporters, morning, storm
hurricane gilbert, intense hurricane, winds, national hurricane center, mark zimmer, miles, barometric pressure, storms, western hemisphere, meterologist, mph, damage, air force reconnaissance plane, feet, inches
hurricane gilbert, intense hurricane, sheets, barometric pressure, record-breaking fury, caribbean islanders, storm, center, calm, days, cover, interviews, tuesday, large monitor, inches
debts, nation, countries, developed, west berlin, african brothers, international economic relations, brazil, american, finance ministers, western creditors, industrialized nations, foreign loans, operators, asian
canadian ben johnson, illegal anabolic steroid, drugs, olympics today, american carl lewis, gold medal, officials, fastest, world, prize, track, airport, canada, complete state, urine sample
drugs, sports minister jean charest, canada, johnson, disappointed nation, olympic gold medal, canadians, international olympic committee, anabolic steroids, national hero ben johnson, national sports fans, sprinter, tuesday, athletics commission, calgary
johnson, olympic gold medal, drug test, canadians, ben johnson, flight, illegal steroid stanzolol, boston globe, canada, sprinter, plane, hero, mother, dodged reporters, fastest human
ben johnson, olympic gold medal, nation hungry, canadian pride, hockey superstar wayne gretzky, stripping, drug scandal, toronto, canada, hero, shame, larry heidebrecht, medal tuesday, john furedy, sports columnist
steroids, johnson, olympic gold medal, ben johnson, astaphan, knowledge, run, world record, toronto star newspaper, charlie francis, runner, jamie, sunday, positive, rome
tunnel builders, colossal tunneling machine, french coast, train, english channel, largest civil engineering project, dover, time, london-paris journey, british, colin kirkland, feet, way, new british government, white cliffs
hurricane joan, mph winds, storm, open caribbean today, jim gross, potential strength, unusual southern path, colombia, town, national hurricane center, coast, forecasters, people dead, bolivar, water
diabetics, insulin secretion, disease, new zealand biochemist garth cooper, hormone, amylin, level, type ii diabetes, obesity, pancreases, high levels, new treatments, blood sugar, scientist, major contributor
b-52 bomber, crew members, castle air force base, spokesman, george peck, aircraft, fair condition, plane, landings, b-1b bomber, sawyer spokesman, mark hartney, pilot, anita bailey, runway
remscheid, national defense programs, accident, popular support, people, saturday, fiery crash, west germany, construction worker, low-level flight training missions, statement saturday, dieter wellershoff, fire brigade leader berthold hoehler, house, military
