books named, Grammar Books, important materials, Gutenberg Project, Text Mining, English, English Grammar, unstructured data, Century English, Books
equipment defects, Power Equipment, Text Mining, Defects, research hotspot, Knowledge, Text, field, Power, Mining Techniques
Survey, data mining, large amount, text data, Techniques, data, fast growth, digital data, data collection, Text
Challenges, today world, stored information, enormously increasing, future directions, text documents, Text mining, unstructured form, Text, increasing day
Unstructured Data, requires careful, Text Mining, text data, careful scientific, digital economy, Mining Technology, Text, decision-making processes, text requires
vast amount, Text Mining, Issues Due, rapid rise, Applications, Due, data, digital data, data collection, Text
text information, Text, Text Mining, Feature Discovery, text preprocessing, dramatically increased, unstructured text, Relevance Feature, Feature, volume
Auxiliary Diagnosis, electronic medical, Text Mining, Chief Complaint, Based, Complication Based, Text, recent years, medical records, Diabetes
electronics devices, devices nowadays, web pages, technical papers, substantial portion, Data Due, Text Data, digital libraries, Text, Mining
mining versus, text mining, versus natural, data, unstructured data, Nowadays, information saved, processing Nowadays, natural language, language processing
Comprehensive Analysis, Social Network, finding criminal, Text Mining, Activity Detection, Criminal, Criminal Activity, Text, Activity, Detection
Fuzzy Cognitive, Analysis Based, Text Mining, Based, Text Analysis, Policy Text, computer methods, greatly improved, Cognitive Map, Text
genetic variation, Translational Medicine, Text Mining, Hypotheses, Results, Medicine, genetic, Medicine Studies, Text, complex diseases
Past, textual data, bioinformatics, data sources, data, peer-reviewed articles, Text mining, Text, biology, present
Systematic Literature, Literature Review, Text Mining, Mining Methods, Systematic, present paper, Continued Supporting, scientific publications, Supporting, Applying Text
Arabic Text, differs, Text Mining, paper studies, Analogical, promising tool, Application, Text, Text Summarization, Analogical proportions
Mining Tools, testcase prediction, prediction Text, Text Mining, Techniques support, support early, data, Text, conjured utilizing, early testcase
Feedback, Descriptive Feedback, text classification, Bayes text, text mining, text, mining approach, powerful tool, Interns’ Performance, approach Descriptive
articles, database CKNI, valuable references, valuable, mining publicly, understand, text mining, text, find, Internet
Text Mining, Product Quality, Natural Language, Mining Approach, Machine Learning, extracting interesting, Quality Enhancement, non-trivial patterns, Language Processing, Text
deep, text knowledge, network, deep neural, mining algorithm, text mining, knowledge mining, neural network, text, algorithm based
System, Intelligent, Intelligent e-Government, System Based, Text Mining, Based, Experimental Evaluation, e-Government System, Text, evaluated experimentally
Data Infrastructure, Big Data, social media, Framework, comment appearance, Text Mining, Text Preprocessing, Preprocessing Framework, Text, Data
special administrative, Macau, region, Macau special, text mining, region policy, study aimed, policy addresses, classification analyses, administrative region
Traffic safety, Methods, Text Mining, Methods Traffic, Mining Methods, data, designing infrastructure, Analysis, accident data, Insights
mining method, scholars' cognition, scientific research, affects scholars', Text, Recognition Algorithm, Research, Text Naming, Algorithm Based, Naming Recognition
interactive part, language process, data mining, answer content, cheating behavior, processing technology, homework effect, students posting, MOOCs interactive, natural language
Combining Data, Text, Text Mining, text data, numerical, Analysis Support, Analysis, mining techniques, recent years, Data
research articles, Research, Text Mining, Learning Research, Machine Learning, Learning, Analysis, paper aims, Machine, Text
Resources Management, Detecting Subjectivity, Government Case, supports Human, Staff Perfomance, Text Mining, Human Resources, Case Study, mining based, Teachers Appraisals
initial stage, management practice, practices, Text Mining, people management, automatic model, classify, people, Text, mining techniques
scientific papers, searched, algorithm, prototype, text mining, agent-based text, context identification, text, relevant papers, papers
System, Mining Digitization, data inflation, Text-based Recommendation, Text Mining, Recommendation System, data, Text, recent years, Digitization makes
Legal, Texts Words, main tool, Text Mining, Interaction Detector, text documents, Legal Texts, Analysis, Text, Words
hard sciences, Linguistics, Methodology, Terms, make, Development Text-mining, cross-field technology, Development, gaining popularity, Text-mining
Optical Character, Character Recognition, historical, OCR, large-scale digitisation, OCR correction, readily accessible, increasingly readily, diverse source, digitisation efforts
initial literature, Thesis, review, literature review, mining supporting, supporting initial, area, Text mining, Text, development area
Classifying Disease, misdiagnoses account, Neural Network, Text Mining, Positive Rate, significant portion, medical errors, Symptoms Nowadays, Nowadays, Applying Text
summarization, rule reduction, language text, class labels, Automatic Text, meaningful information, Text mining, Text, Text categorization, natural language
mining model, LDA model, built based, LSA, semantic analysis, text mining, latent semantic, Latent Dirichlet, Dirichlet Allocation, open questionnaire
text clustering, document, sentence, Text classification, Conceptual Rule, Text, significant objectives, Mining, natural language, language processing
pressure requires, innovative capacity, competitive pressure, Text Mining, requires companies, Potentials Increased, Increased competitive, Semantic Modelling, Product Context, Innovation Potentials
Word Discovery, word features, Power Equipment, Defect Text, equipment operation, intelligent development, large number, Feature Fusion, important issue, power grid
system, based, cluster based, based approach, intelligent information, important task, Text, information system, ontology-based text-mining, group
social media, hidden predictive, text mining, large databases, social, text, extracting hidden, Data, information, mining methods
mining research, Cited Publications, Highly Cited, Cited, Science, Data, research area, Text, Data Mining, Highly
ideas freely, predict criminal, Cybercrime profiling, exponential development, Arab Spring, Text mining, mining techniques, communicate information, online social, criminal activities
Social Media, Stemming, text data, text mining, Slang, Mining Indonesian, Text, Indonesian Text, Algorithm, Stemming Algorithm
large amount, text data, text mining, data, Constructing knowledge, text, knowledge, Total Environment, unstructured data, support users
