data and structured information, books named English, Books, Gutenberg Project, Grammar, grammar books are important, Century English grammar books, materials for English learning, important materials, unstructured data and structured, order to systematically analyze, themes and trends
field of power equipment, evaluation of health, knowledge graphs of power, Defects, Text, Power Equipment Text mining, Mining, dictionary of electric, summarize the research advances, Power, Text Mining Techniques, Techniques for Knowledge
Text, fast growth in digital, made way for large, large amount, data, present day data, Survey, text data mining, information, fast, Techniques, digital data collection techniques
amount of stored, day, Text mining, enormously increasing day, directions In today world, unstructured form, stored information, Challenges and future directions, information extraction and visualization, processing to extract, knowledge, day which is generally
Mining Technology The analysis, digital economy, form of text requires, careful scientific research, affects the decision-making, text requires careful scientific, technology of unstructured data, Assessment of Congruence, Text Mining, congruence of text, processes in the digital, decision-making processes
speed and reduce, vast amount, percent of present data, rapid rise of digital, mining text, Applications, Issues, data, boost the speed, Text Mining, information for future, digital data collection techniques
Text, day is dramatically increased, techniques and algorithms, Discovery in Text Mining, Mining, Relevance Feature Discovery, basically and effortlessly, measure of insignificant, Feature, information, unstructured text, formed each day
Text, Text Mining In recent, Based, Diabetes, Auxiliary Diagnosis of Type, Complication Based on Text, Based on Text Mining, electronic medical, information, Chief Complaint, recent years, HPI
Guttenbergs William Shakespeare stories, digital libraries, stored as text, Frequent pattern mining, substantial portion of information, electronics devices nowadays, heavy use of electronics, web pages, Mining, Text Data Due, LTS Linux Operating System, Data Due to heavy
language, Nowadays, unstructured, individually and collectively, information saved, natural language processing Nowadays, data, text mining versus, comparison and evaluation, text, processing, mining versus natural language
Comprehensive Analysis Criminal activity, Network by Text Mining, Text, Activity Detection in Social, Social Network, mining is the process, reduce the volume, law text mining technique, Activity, Mining, detect hidden, criminals and help law
Text, Based, Fuzzy Cognitive Map, Analysis Based on Text, Policy Text Analysis Based, Based on Text Mining, introduction of computer methods, Fuzzy, Text Mining and Fuzzy, greatly improved, Policy, material and processing accuracy
Hypotheses and Results, genome, diseases, Translational Medicine Studies, common, Medicine Studies Most common, common and complex diseases, cancer, Text Mining, needed to represent, Studies, genetic variation
messy and disorganized, textual data sources, Text mining, information from textual data, articles, future The peer-reviewed, future, data, solution to extract information, data in biology, Past, peer-reviewed articles and textual
Systematic Literature Review, Applying Text Mining Methods, Continued Supporting a Systematic, Review, Mining, Literature Review by Applying, SLR, Methods In the present, in-depth analysis, text classification, classification of scientific publications, present paper
Analogical Text Mining, Text Summarization, Text, efficiency to deal, differs, Application to Arabic Text, paper studies the ability, Arabic, Mining, proportions, paper, studies
World Wide Web, Text, Survey on Text Mining, Tools and Techniques support, early testcase prediction Text, Text Mining Tools, recorded data is conjured, data, Survey, past or recorded data, Techniques support early testcase, conjured utilizing various assets
mining approach Descriptive feedback, Studies and Information Technology, College of Computer Studies, Naive Bayes text classification, powerful tool to identify, Descriptive Feedback on Interns’, identify the strength, text mining, Performance using a text, Feedback on Interns’ Performance, curriculum under the College, Leyte State University
find, find valuable references, mining publicly, abstract clustering The emergence, articles, pay more attention, emergence of text, information from Internet, understand, text mining, Chinese database CKNI, study
Approach for Product Quality, Text, non-trivial patterns or knowledge, process of extracting interesting, Machine Learning, Natural Language Processing, extracting interesting and non-trivial, Text Mining Approach, knowledge from text documents, transform free flow text, Learning and Natural Language, Quality Enhancement
text knowledge mining, mining, deep neural network, network In this paper, text mining algorithm based, association mapping text knowledge, algorithm with the DNN, text, proves the feasibility, capable of embodying, based on deep neural, contents of a text
Text, Evaluation of Intelligent e-Government, text mining is developed, Based, Intelligent, spot problem mining based, System Based on Text, challenge in China, message hot spots, Intelligent e-Government System Based, include the realization, performance is evaluated experimentally
people using social media, Mining on Big Data, event and post, media to comment appearance, Text Preprocessing Framework, computation time, module, Big Data Infrastructure, Text Mining, post own activity, solve the problem, Data
Macau special administrative region, region, relationship of Macau special, aimed at analyzing, Macau, study applied the SVM, Support Vector Machine, text mining method, special, annual policy, administrative region policy addresses, analyzing the keywords
Text, city of Munich, Insights into Road Accident, designing infrastructure or vehicles, Analysis, Insights, Mining, Methods, main goals when designing, accident data, Traffic, Mining Methods Traffic safety
Text, Based, affects scholars' cognition, operations such as experiments, Research, Based on Text Mining, Naming Recognition Algorithm Based, text mining method, process of scientific research, Naming, Algorithm Based on Text, judgment of things
mining and natural language, mechanisms to stimulate students', improve the completion, natural, interactive text in MOOCs, Education data mining, natural language processing technology, MOOCs interactive part, analyze students' learning behavior, homework or answer content, process This paper proposes, mining
Text, text mining techniques, Analysis, Combining Data Mining, Mining, numerical, review, frequently used for analyzing, recent years, Support, Data, Support by Combining Data
Mining This paper aims, Trend, research articles, aims, Analysis, data, Machine, Machine Learning Research, Text Mining, paper aims to identify, knowledge, results
Palestinian Government Case Study, Text, supports Human Resources Management, HRM, Staff Perfomance Appraisals, Mining, approach that supports Human, Case Study The objective, propose a text mining, Teachers Appraisals of Palestinian, Detecting Subjectivity in Staff, text mining based approach
initial stage and aims, Text, management practice, text mining techniques, alternative for analysing large, develop an automatic model, automatic model to classify, aims to develop, Mining, large amounts of text, classify, people management
prototype, successfully identifies the contexts, context of potentially relevant, papers, identification of scientific papers, agent-based text mining algorithm, potentially relevant papers published, challenging for researchers, prototype for context identification, searched, algorithm, match their interests
Review Text-based Recommendation System, Text, Machine Learning Approach, makes, leading to data inflation, Text Mining Digitization makes, makes data more readily, Mining, data, System in Text Mining, System, inflation in recent years
documents, Words are the main, observing judicial precedent, Legal Texts Words, Analysis, Legal, Words, amount of textual, Chi-square Automatic Interaction Detector, Text Mining, main tool, information
Terms of Methodology, gaining popularity, Text-mining, make, Methodology and Development Text-mining, status of cross-field, attained the status, Terms, brings together soft, units' identification and categorization, soft and hard sciences, Development
usage from the publication, applying Optical Character Recognition, historical, large-scale digitisation efforts, increasingly readily accessible, archives constitute a rich, historical medical text Historical, Low quality OCR text, rich and diverse source, text, provided by applying Optical, OCR
searches to retrieve, Text mining, development area, subject and scope, supporting, investigator, project, review, literature, area, mining supporting initial literature, Thesis
significant portion, True Positive Rate, physician, Nowadays, Neural Network, misdiagnoses account, Text Mining for Classifying, Disease from Symptoms Nowadays, Symptoms, Classifying Disease, portion of medical errors, Applying Text Mining
Automatic, Text, Token Creation, work, assigning pre-defined class labels, derive the structure, field that attempts, meaningful information from natural, bring together meaningful information, Text categorization and summarization, natural language text, rule reduction Text mining
latent semantic analysis, text mining model building, LDA model, model building of open, questionnaire based on LSA, based, LSA, object and improve Latent, text, open, improve Latent Dirichlet Allocation, mining
document, conditional probability Text classification, Text, Text classification and information, sentence ranking conditional probability, web, probability, significant objectives of natural, sentence, Conceptual Rule Mining, Mining, natural language processing
extract the topic areas, Product, text data, Semantic Modelling, Innovation, Increased competitive pressure requires, Innovation Potentials Increased competitive, pressure requires companies, shows the dependency, analyzing the document, Context, Product Context Using Text
degree-degree of freedom, intelligent development, Text, defect text classification model, Word Discovery and Feature, operation and maintenance, features in the defective, power grid equipment operation, convolutional neural network defect, large number, Equipment Defect Text Mining, Text Mining Based
Text, cluster, methods attempt to segregate, based, group, ontology-based text-mining, important task, intelligent information system, text document clustering methods, group represents some topic, approach, cluster based approach Text
identification on twitter, mining methods Data, large databases, audience, twitter, text mining, review, information, technique of extracting hidden, Data, extracting hidden predictive information, social
publishers for academic, academic and indexing, Mining Data mining, Information Science Library Science, Highly, Highly Cited Publications, revealed that the prominent, popular research area, Science, data mining research, Cited, Data
social media allows users, activities in microblog posts, predict criminal activities, information and ideas, exponential development in online, topics and eventual, Cybercrime profiling, globe the possibility, online social media, share and communicate, users around the globe, possibility to share
Social Media, Porter, stemmer, Improved of Stemming Algorithm, Improved, text mining, Mining Indonesian, Slang, data, Indonesian Text, result, natural languages
applications, Total Environment, large amount, discover or create knowledge, amount of text data, goal, data, text mining, support users, mining process, discover, Constructing knowledge using exploratory
areas of information, improve strategic decision making, helpful to improve strategic, idea, idea characterization based concept, review, research, field, text, methods, information retrieval research, mining
factors threatening the security, Text, Level, Prediction, security of information systems, Mining, Level Based on Text, Vulnerability Severity Level Based, Intelligent Prediction of Vulnerability, endless vulnerabilities pose, Text Mining and XGBboost, important factors threatening
vaccine, Mindset, newly discovered coronavirus, Indonesian people, Pandemic using the Text, research, People of Indonesia, world is busy, Text Mining, Deal, Naive Bayes Classifier method, Sentiment Analysis
Approach in SRS, Diagrams Using a Text, Penguin Software requirement specification, score, Development of Class Diagrams, Class Diagrams Based, guide for developers, SRS Penguin Software, Text Mining Approach, Class, SRS from the Penguin, Cohen Kappa
Chinese segmentation method, methods with the aim, Records Based On Text, Chinese, identifying the key medicines, TCM syndromes into consideration, aim of identifying, taking patients' TCM syndromes, Text Mining, TCM, Diabetes TCM Records Based, formulae when taking patients'
practical patterns or knowledge, believed to have high, mining Because of large, extracting previously unknown, amounts of unstructured, Internet, text mining, data, unstructured text data generated, high commercial, large amounts, potential and practical patterns
classifier indexes the document, text mining Text mining, domain ontology and datasets, text, process of extracting knowledge, knowledge from large text, proposed, taxonomy and domain ontology, document to the concern, probabilistic classifier for text, ODP taxonomy, mining
Text, Processing Model Text mining, Evaluation of Text, process, Analysis, input and evaluates, Mining, data, Efficient Analysis for Extracting, Natural Language Processing Model, text considers various words, Extracting Feature
Text Using Text Mining, read related information topic, Text, Generator From Paragraph Text, search engine, system needs to improve, Bahasa, Copying the whole text, application, Bahasa Indonesia When reading, Keywords Generator, Mining in Bahasa Indonesia
Solve, analyzes, Mining Technology to Solve, Project, Solve Project Management Problems, paper analyzes the possibilities, methods to solve project, lot of textual, Problems This paper analyzes, Text Mining, Application, paper
