gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical, classical channels, fluid dynamics, nonlinear Burgers equations, Quantum lattice-gas algorithms, NMR implementation
management to technology, technology to back-office, separately managed accounts, SMA funds, SMA business, back-office services, separately managed, managed accounts, outsourcers are elbowing, investment management, Banking on SMA, SMA, paying attention-and hoping, Banking, funds, separately, accounts, services, outsourcers, business
complex industrial applications, industrial applications, industrial systems, strategies for industrial, complex industrial, paper presents, Design methodology, diagnostic systems, diagnostic strategies, systems This paper, systems for complex, industrial, systems, construction of diagnostic, diagnostic algorithms developed, design cycle, diagnostic, presents a method, local diagnostic algorithms, applications
graphs Moving, shy invariant, Moving, minimum clique-partition, graph invariant, graph, minimum, invariant, shy, result, lambda, clique-partition, alpha, theta, problem, computing a minimum, minimum clique-cover, invariant of graphs, induced odd cycles, Hammer
Pictures Expert Group, Motion Pictures Expert, industry-standard Motion Pictures, Expert Group, Motion Pictures, Pictures Expert, delivering streaming multimedia, streaming wireless market, streaming multimedia content, PacketVideo, wireless, PacketVideo technology partners, industry-standard Motion, wireless device manufacturers, PacketVideo technology, delivering streaming, streaming multimedia, streaming wireless, streaming, step ahead
finite-dimensional state spaces, arbitrary quantum dynamics, finite-dimensional state, state spaces, spaces What interactions, interactions are sufficient, Hamiltonian, Hamiltonian dynamics, entangling N-qubit Hamiltonian, Phys. Rev., dynamics, N-qubit Hamiltonian, local unitaries, simulate arbitrary quantum, sufficient to simulate, simulate arbitrary, quantum, Universal simulation, composite quantum system, arbitrary quantum
dynamic vibration absorbers, three-element type DVA, passive vibration control, vibration control device, type dynamic vibration, dynamic vibration, type DVA, Voigt type DVA, vibration absorbers, vibrating body, force or motion, DVA, optimization, control device, exciting force, absorbers The dynamic, type dynamic, passive vibration, vibration control, primary system
finite-state zero-sum discounted, zero-sum discounted stochastic, discount rate approaches, discounted stochastic game, real-closed fields, stochastic games, finite-state zero-sum, zero-sum discounted, theory of real-closed, asymptotic behavior, semi-algebraic theory, rate approaches, discount rate, N-stage game, theory, stochastic, semi-algebraic sets, game, asymptotic properties, theory of semi-algebraic
high field, brain becomes inhomogeneous, inhomogeneous due, due to wave, field, field intensity distribution, intensity distribution, quadrature surface coil, high, head at high, surface coil, quadrature surface, coil, quadrature, distribution, human brain, wave behavior, quadrature coil, predict image intensity, field intensity
information retrieval thesaurus, information retrieval, family planning terms, family planning, existing scheme, scheme of classifications, retrieval thesaurus, terms using CDS, information, retrieval, planning terms, thesaurus, Family Planning discipline, family, CDS, planning, ISIS, ISIS software, retrieval is discussed, Construction
Taking back control, Taking back, SCADA system, SCADA, SCADA project, back control, implement a SCADA, existing SCADA system, system, control, existing SCADA, Taking, back, common, implement, author opinion, in-house, personnel should handle, in-house personnel, equipment specification
Net Enterprise Server, Enterprise Server Release, Server Release Candidate, progress Microsoft Windows, slow progress Microsoft, eventually replace Windows, Dot-Net makes slow, Net Enterprise, makes slow progress, Release Candidate, Microsoft Windows, Server Release, Advanced Server, progress Microsoft, replace Windows, Dot-Net makes, makes slow, slow progress, early glimpse, eventually replace
large-scale secure multicast, member cannot decrypt, secure multicast, Distributed servers approach, large-scale secure, order to offer, offer backward, backward and forward, forward secrecy, joins or leaves, multicast, secrecy for multicast, data encryption key, user pool, multicast data, servers approach, Distributed servers, decrypt the multicast, multicast applications, member
