Униграммы при Хи-2,Хи-квадрат,Униграммы при Взаимной инф.,Взаимная информация,Биграммы при Хи-2,Хи-квадрат (Биграммы),Биграммы при Взаимной инф.,Взаимная информация (Биграммы)
fuzzy,9265.548439400029,fuzzy,0.5991195132977379,fuzzy logic,6114.217264791432,fuzzy logic,0.5474058623482739
retrieval,6558.622471910076,logic,0.5586222753115435,information retrieval,3713.0074147305777,information retrieval,0.3792099625963679
logic,6396.696691176434,retrieval,0.5013530137110063,text mining,3340.456920511376,text mining,0.3779377461587208
text,5474.877251981714,mining,0.4329882660397754,type fuzzy,1271.9999999999927,the fuzzy,0.1291451735251017
information,4709.405251141526,text,0.4067438304052444,the fuzzy,1066.560143626565,of fuzzy,0.11607209055793098
mining,4546.1210121011845,information,0.34012069543096485,logic controller,1001.9999999999944,using fuzzy,0.09901821827972573
control,2490.356772760904,control,0.15819974294096126,of fuzzy,868.487912087907,logic controller,0.09079297355630685
controller,2188.0218181818054,controller,0.12821045351541988,using fuzzy,738.7480916030493,type fuzzy,0.0690882376256532
query,1669.5350318471242,query,0.11975689064518506,retrieval system,606.4716981132042,retrieval system,0.0676097844213253
type,1614.8685927306524,simulation,0.07199982637917121,interval type,559.9999999999968,of text,0.06642865325449834
data,979.4850299401141,search,0.06837671206469931,data mining,542.5187032418921,using text,0.0608934466072289
search,920.1032745591888,type,0.06802069994082227,of text,539.5797101449245,logic based,0.05651338346347058
system,881.5989256938176,data,0.06762984306123476,logic based,487.9999999999973,on fuzzy,0.0565029735184447
power,840.7368421052583,system,0.06735810190697267,of information,473.41237113401803,of information,0.05257681979209098
ir,813.252293577977,matlab,0.06566976820915858,on fuzzy,460.5142857142831,the text,0.05245728184135187
analysis,715.1839080459729,documents,0.06496892575562024,the text,457.4915254237262,mining and,0.05109604563868968
semantic,690.9022164276363,analysis,0.058230976697918005,logic control,433.9999999999975,mining techniques,0.04967263889689663
interval,662.1588235294081,ir,0.057849508205489994,using text,418.6696428571405,logic control,0.04635481228733203
social,604.3884156729098,membership,0.05206484553046878,social media,411.1605839416036,the retrieval,0.04632470514715477
documents,601.3595166163109,document,0.050042734298460984,text classification,400.27848101265596,data mining,0.044120685615930515
user,565.0215175537908,power,0.0494002776670425,fuzzy sets,384.0307692307671,interval type,0.042768509829236814
classification,553.1277258566947,queries,0.047950994773444146,mining techniques,383.78604651162567,retrieval and,0.0420417487864471
energy,552.6487804878018,semantic,0.04744584599456425,text data,383.64192139737776,and fuzzy,0.04142283770026814
membership,524.1549815498126,output,0.04674765990857213,mining and,365.37903225806247,logic system,0.039203714829022754
motor,522.1555555555526,controllers,0.046447192006963386,the retrieval,356.28877005347397,retrieval in,0.038872525548345305
robot,504.5617977528061,retrieve,0.04575862517271263,logic system,329.9999999999981,retrieval ir,0.038857083681619733
image,497.95575221238664,interval,0.04483839877438986,and fuzzy,328.79411764705696,membership functions,0.03707504260820896
simulation,493.94475138121277,user,0.044670427020733275,image retrieval,322.1437125748485,simulation results,0.03675149389749426
output,480.56708860759227,social,0.04457327471350245,fuzzy inference,317.9999999999982,fuzzy inference,0.036367172498301494
controllers,468.02531645569354,language,0.0445521609067318,the user,316.2411764705865,logic in,0.034668470836885554
document,467.0530303030277,relevant,0.04177253691892606,the query,303.04918032786713,the query,0.03448876170949563
sentiment,449.34302325581143,inference,0.04001358937608969,control system,300.0392156862728,for information,0.03445127306162563
voltage,437.99999999999756,from,0.03958487021024084,query expansion,299.9999999999983,mining is,0.03427615854339329
queries,426.1189591078043,texts,0.03875902443998655,retrieval and,296.89230769230596,the information,0.03426360545260527
matlab,420.02816901408215,web,0.03829059738785917,membership functions,293.9999999999983,control of,0.033624498414362804
inference,407.02222222221985,parameters,0.03602770198485685,the information,283.44444444444287,text classification,0.033585738218526034
speed,400.71304347825867,simulink,0.03566014232759119,control of,278.7402597402582,controller is,0.03319211941292823
load,395.20689655172197,we,0.0352296307927343,sentiment analysis,259.47999999999854,retrieval systems,0.03306134186538584
